MedDRA Code,MedDRA SOC,CTCAE Term,Grade 1   ,Grade 2   ,Grade 3   ,Grade 4   ,Grade 5   ,Definition,Navigational Note,CTCAE v5.0 Change
10002272,Blood and lymphatic system disorders,Anemia,Hemoglobin (Hgb) <LLN - 10.0 g/dL; <LLN - 6.2 mmol/L; <LLN - 100 g/L,Hgb <10.0 - 8.0 g/dL; <6.2 - 4.9 mmol/L; <100 - 80g/L,Hgb <8.0 g/dL; <4.9 mmol/L; <80 g/L; transfusion indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability.",,Clarification: Definition
10005329,Blood and lymphatic system disorders,"Blood and lymphatic system disorders - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10048580,Blood and lymphatic system disorders,Bone marrow hypocellular,Mildly hypocellular or <=25% reduction from normal cellularity for age,Moderately hypocellular or >25 - <50% reduction from normal cellularity for age,Severely hypocellular or >50 - <=75% reduction cellularity from normal for age,Aplastic persistent for longer than 2 weeks,Death,A disorder characterized by the inability of the bone marrow to produce hematopoietic elements.,,
10013442,Blood and lymphatic system disorders,Disseminated intravascular coagulation, -,Laboratory findings with no bleeding,Laboratory findings and bleeding,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by systemic pathological activation of blood clotting mechanisms which results in clot formation throughout the body. There is an increase in the risk of hemorrhage as the body is depleted of platelets and coagulation factors.,,
10014950,Blood and lymphatic system disorders,Eosinophilia,>ULN and >Baseline, -,Steroids initiated, -, -,A disorder characterized by laboratory test results that indicate an increased number of eosinophils in the blood.,,Addition: Term
10016288,Blood and lymphatic system disorders,Febrile neutropenia, -, -,ANC <1000/mm3 with a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of >=38 degrees C (100.4 degrees F) for more than one hour,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an ANC <1000/mm3 and a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of >=38 degrees C (100.4 degrees F) for more than one hour,,
10019491,Blood and lymphatic system disorders,Hemolysis,"Laboratory evidence of hemolysis only (e.g., direct antiglobulin test; DAT; Coombs'; schistocytes; decreased haptoglobin)",Evidence of hemolysis and >=2 g decrease in hemoglobin,"Transfusion or medical intervention indicated (e.g., steroids)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate widespread erythrocyte cell membrane destruction.,,Clarification: Grade 2
10019515,Blood and lymphatic system disorders,Hemolytic uremic syndrome, -, -,"Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)","Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)",Death,"A disorder characterized by a form of thrombotic microangiopathy with renal failure, hemolytic anemia, and severe thrombocytopenia.",,Deletion: Grade 1
10024378,Blood and lymphatic system disorders,Leukocytosis, -, -,">100,000/mm3",Clinical manifestations of leucostasis; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate an increased number of white blood cells in the blood.,,
10025182,Blood and lymphatic system disorders,Lymph node pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in a lymph node.,,
