row;NCIt Code;NCIt PT;NCIt Definition;CTCAE PT;CTCAE 5.0 Definition;MedDRA Term;MedDRA Code;MedDRA TermType;MedDRA Version
0;C143163;CTCAE by Body System;;;;;;;
2;C143164;Blood and Lymphatic System Disorders, CTCAE;;;;;;;
3;C143283;Anemia, CTCAE;A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability.;Anemia;A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability.;Anemia;10002272;LLT;20,1
4;C143979;Grade 1 Anemia, CTCAE;"Hemoglobin (Hgb) <LLN-10.0 g/dL; <LLN-6.2 mmol/L; <LLN-100 g/L";Grade 1 Anemia;"Hemoglobin (Hgb) <LLN-10.0 g/dL; <LLN-6.2 mmol/L; <LLN-100 g/L";Anemia;10002272;LLT;20,1
5;C144517;Grade 2 Anemia, CTCAE;"Hgb <10.0-8.0 g/dL; <6.2-4.9 mmol/L; <100-80g/L";Grade 2 Anemia;"Hgb <10.0-8.0 g/dL; <6.2-4.9 mmol/L; <100-80g/L";Anemia;10002272;LLT;20,1
6;C145136;Grade 3 Anemia, CTCAE;"Hgb <8.0 g/dL; <4.9 mmol/L; <80 g/L; transfusion indicated";Grade 3 Anemia;"Hgb <8.0 g/dL; <4.9 mmol/L; <80 g/L; transfusion indicated";Anemia;10002272;LLT;20,1
7;C145745;Grade 4 Anemia, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Anemia;"Life-threatening consequences; urgent intervention indicated";Anemia;10002272;LLT;20,1
8;C146215;Grade 5 Anemia, CTCAE;Death;Grade 5 Anemia;Death;Anemia;10002272;LLT;20,1
9;C143323;Blood and Lymphatic System Disorders - Other, Specify, CTCAE;;Blood and lymphatic system disorders - Other, specify;;Blood and lymphatic system disorders - Other, specify;10005329;LLT;20,1
10;C144000;Grade 1 Blood and Lymphatic System Disorders - Other, Specify, CTCAE;"Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated";Grade 1 Blood and lymphatic system disorders - Other, specify;"Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated";Blood and lymphatic system disorders - Other, specify;10005329;LLT;20,1
11;C144544;Grade 2 Blood and Lymphatic System Disorders - Other, Specify, CTCAE;"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL";Grade 2 Blood and lymphatic system disorders - Other, specify;"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL";Blood and lymphatic system disorders - Other, specify;10005329;LLT;20,1
12;C145162;Grade 3 Blood and Lymphatic System Disorders - Other, Specify, CTCAE;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL";Grade 3 Blood and lymphatic system disorders - Other, specify;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL";Blood and lymphatic system disorders - Other, specify;10005329;LLT;20,1
13;C145766;Grade 4 Blood and Lymphatic System Disorders - Other, Specify, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Blood and lymphatic system disorders - Other, specify;"Life-threatening consequences; urgent intervention indicated";Blood and lymphatic system disorders - Other, specify;10005329;LLT;20,1
14;C146235;Grade 5 Blood and Lymphatic System Disorders - Other, Specify, CTCAE;Death;Grade 5 Blood and lymphatic system disorders - Other, specify;Death;Blood and lymphatic system disorders - Other, specify;10005329;LLT;20,1
15;C143332;Bone Marrow Hypocellular, CTCAE;A disorder characterized by the inability of the bone marrow to produce hematopoietic elements.;Bone marrow hypocellular;A disorder characterized by the inability of the bone marrow to produce hematopoietic elements.;Bone marrow hypocellular;10048580;LLT;20,1
16;C144009;Grade 1 Bone Marrow Hypocellular, CTCAE;Mildly hypocellular or <=25% reduction from normal cellularity for age;Grade 1 Bone marrow hypocellular;Mildly hypocellular or <=25% reduction from normal cellularity for age;Bone marrow hypocellular;10048580;LLT;20,1
17;C144552;Grade 2 Bone Marrow Hypocellular, CTCAE;Moderately hypocellular or >25-<50% reduction from normal cellularity for age;Grade 2 Bone marrow hypocellular;Moderately hypocellular or >25-<50% reduction from normal cellularity for age;Bone marrow hypocellular;10048580;LLT;20,1
18;C145168;Grade 3 Bone Marrow Hypocellular, CTCAE;Severely hypocellular or >50-<=75% reduction cellularity from normal for age;Grade 3 Bone marrow hypocellular;Severely hypocellular or >50-<=75% reduction cellularity from normal for age;Bone marrow hypocellular;10048580;LLT;20,1
19;C145769;Grade 4 Bone Marrow Hypocellular, CTCAE;Aplastic persistent for longer than 2 weeks;Grade 4 Bone marrow hypocellular;Aplastic persistent for longer than 2 weeks;Bone marrow hypocellular;10048580;LLT;20,1
