ThesaurusId, Title
8514,Template for Reporting Results of Biomarker Testing of Specimens From Patients With Tumors of the Head and Neck
24,RESULTS
31,Page 1
Not set,Head and Neck Squamous Cell Carcinoma (HNSCC)
33,p16 Expression (by immunohistochemistry) as a Surrogate for Transcriptionally Active High-Risk HPV
34,Negative (<50% diffuse and strong nuclear and cytoplasmic staining)
35,Equivocal (<70% but >50% diffuse and strong nuclear and cytoplasmic staining)
36,Positive (>70% diffuse and strong nuclear and cytoplasmic staining)
37,Indeterminate
38,Indeterminate (explain):
39,HPV-DNA (by in situ hybridization [ISH])
40,Negative (no signal)
41,Positive
42,Indeterminate
43,Positive
45,Punctate
46,Diffuse
47,Subtype(s)
48,Indeterminate (explain):
49,Subtype(s) (if available):
50,HPV E6/E7 mRNA (by ISH)
51,Negative (no signal)
52,Positive (cytoplasmic and/or nuclear signals)
53,Indeterminate
54,Subtype(s) (if available):
55,Indeterminate (explain):
56,HPV-DNA (by polymerase chain reaction [PCR])
57,Negative (no signal)
58,Positive
59,Indeterminate
60,Subtype(s) (if available):
61,Indeterminate (explain):
62,HPV E6/E7 mRNA (by reverse transcriptase polymerase chain reaction [RT-PCR])
63,Negative (no signal)
64,Positive
65,Indeterminate
66,Subtype(s) (if available):
67,Indeterminate (explain):
Not set,Epstein-Barr Virus (EBV) Testing
68,EBV Early mRNA (EBER) (by ISH)
69,Negative (no signal)
70,Positive(nuclear signal)
71,Indeterminate
72,Indeterminate (explain):
Not set,NUT Midline Carcinoma
73,NUT Expression (by immunohistochemistry [IHC])
74,Negative
75,Positive
76,Indeterminate
78,Indeterminate (explain):
79,NUT Rearrangements (by Fluorescence ISH [FISH])
80,No NUT rearrangement detected
81,NUT rearrangement detected
82,Percentage of positive cells (%):
83,Percentage of positive cells with classic rearrangement (if applicable) (%):
84,Percentage of positive cells with complex rearrangement (if applicable) (%):
85,BRD4-NUT Fusion (by RT-PCR)
86,No BRD4-NUT fusions detected
87,BRD4-NUT fusions detected
89,Other NUT Fusion (by RT-PCR)
90,No NUT translocation detected
91,NUT translocation detected
95,Fusion partner:
Not set,Salivary Gland Carcinoma
97,EWSR1 Rearrangements (by FISH)
98,No EWSR1 rearrangement detected
99,EWSR1 rearrangement detected
100,Indeterminate
101,Percentage of positive cells (%):
102,Percentage of positive cells with classic rearrangement (if applicable) (%):
103,Percentage of positive cells with complex rearrangement (if applicable) (%):
104,Indeterminate (explain):
105,EWSR1-ATF1 Fusion (by RT-PCR)
106,No EWSR1-ATF1 fusions detected
107,EWSR1-ATF1 fusions detected
108,Other EWSR1 Fusion (by RT-PCR)
109,No EWSR1 translocation detected
110,EWSR1 translocation detected
112,Fusion partner:
Not set,Mammary Analogue Secretory Carcinoma
113,ETV6 Rearrangements (by FISH)
114,No ETV6 rearrangement detected
115,ETV6 rearrangement detected
116,Indeterminate
117,Percentage of positive cells (%):
118,Percentage of positive cells with classic rearrangement (if applicable) (%):
119,Percentage of positive cells with complex rearrangement (if applicable) (%):
120,Indeterminate (explain):
121,ETV6-NTRK3 Fusion (by RT-PCR)
122,No ETV6-NTRK3 fusions detected
123,ETV6-NTRK3 fusions detected
Not set,Mucoepidermoid Carcinoma
124,MAML2 Rearrangements (by FISH)
125,No MAML2 rearrangement detected
126,MAML2 rearrangement detected
127,Indeterminate
128,Percentage of positive cells (%):
129,Percentage of positive cells with classic rearrangement (if applicable) (%):
130,Percentage of positive cells with complex rearrangement (if applicable) (%):
131,Indeterminate (explain):
